variant,n_days,total_actual,total_explained,mean_abs_unexplained,std_unexplained,max_abs_unexplained,worst_day,mean_abs_unexp_pct_of_abs_pnl,r2_explained_vs_actual,corr_explained_actual,total_pnl_delta,total_pnl_gamma,total_pnl_vega,total_pnl_theta,total_pnl_rho,total_pnl_vanna,total_pnl_volga
"1st order (D,V,T,R)",255,625103.5382093147,690099.9371789169,348.1954878839299,787.0158774693657,5151.2174623881,2026-04-08,0.015804895507358734,0.9992304564558939,0.9997121897404505,,,,,,,
"2nd order (+G,Vanna,Volga)",255,625103.5382093147,621661.4213793746,43.20684505833934,108.98107216846674,1237.5571806920343,2026-03-31,0.0019611962104957793,0.9999864441957468,0.9999933556444074,691342.4076308991,-14059.00180226495,172755.929922645,-145225.048430807,-28773.351943820326,-53530.74802509713,-848.7659721801257
delta=BS,255,625103.5382093147,621661.4213793746,43.20684505833934,108.98107216846674,1237.5571806920343,2026-03-31,0.0019611962104957793,0.9999864441957468,0.9999933556444074,,,,,,,
delta=SABR,255,625103.5382093147,661936.8555874844,151.7594003482588,306.9033143472313,2541.0106895212375,2026-03-31,0.006888490943234735,0.9998705815596586,0.9999471497622175,,,,,,,
delta=Bartlett,255,625103.5382093147,541722.7931508585,327.80666456390526,757.2369630845126,8064.846711728489,2026-03-31,0.014879429114760312,0.9992348073535563,0.9996904340685864,,,,,,,
vega=single,255,625103.5382093147,609656.7425980577,3795.2872606330393,6924.1857164568655,62579.33801963396,2025-10-10,0.17227138392646407,0.9461040743276414,0.9759992794009278,,,,,,,
vega=bucketed,255,625103.5382093147,580893.433618899,2964.715584311319,5459.105932587118,55986.417221193085,2025-10-10,0.13457101441446037,0.966467361472912,0.9869805509933304,,,,,,,
vega=exact(per-leg),255,625103.5382093147,621661.4213793746,43.20684505833934,108.98107216846674,1237.5571806920343,2026-03-31,0.0019611962104957793,0.9999864441957468,0.9999933556444074,,,,,,,
"coarse (1st, single vega)",255,625103.5382093147,613584.4099825124,3735.825333505281,6155.042183032388,49136.51535061737,2025-10-10,0.1695723554277557,0.9574136221344044,0.9803972112883746,,,,,,,
vol_dynamics=ewma,255,625103.5382093147,621661.4213793746,43.20684505833934,108.98107216846674,1237.5571806920343,2026-03-31,0.0019611962104957793,0.9999864441957468,0.9999933556444074,,,,,,,
vol_dynamics=gjr,255,618418.0002190309,615479.2856338627,43.941748290777305,120.22071683192199,1090.6188397145015,2026-03-31,0.002067181726870452,0.9999819509843153,0.9999910579763278,,,,,,,
