date,spot,vol_factor,realized_vol,rate_shift,value,delta,gamma,vega,theta,rho,vanna,volga,delta_sabr,delta_bartlett,vanna_analytic,volga_analytic,vega_0-3M,vega_3M-6M,vega_6M-1Y,vega_1Y+
2025-08-01,621.719970703125,0.7850694777832838,0.11414671066481613,0.005890002250671385,1037190.5537463205,3552.9763961663875,16.31827932128879,2567131.3594310745,-185786.42313948984,4100147.0629695384,-18524.304092548104,-15273108.250409564,4261.6927771028295,2988.1998006939502,-18517.19059498264,-15239722.908702893,0.0,0.0,0.0,2567131.3594310745
2025-08-04,631.1699829101562,0.8614623345014991,0.12525399933090284,0.0055999994277954185,1083071.7895693318,3609.937430874731,12.80580711269765,2339625.905816563,-179681.1754835362,4153533.287108511,-19211.07728686703,-12589825.286115967,4256.044306017862,3120.692543626925,-19191.391021459072,-12561153.59977002,0.0,0.0,0.0,2339625.905816563
2025-08-05,627.969970703125,0.8462082807478973,0.12303610638059433,0.005570001602172851,1066356.946996227,3594.756740586592,14.03207573590262,2420500.6368026193,-182593.28852430606,4134164.5029905653,-19009.088908754202,-13543421.356133934,4266.640392120229,3077.8089669495093,-18993.62279675052,-13513004.286633302,0.0,0.0,0.0,2420500.63680262
2025-08-06,632.780029296875,0.8454276651613587,0.12292260725214946,0.005399999618530271,1087135.252085834,3637.5213014131004,12.504800304411113,2318790.970246762,-179350.82357266825,4179302.809149068,-19489.197824369578,-12368115.498581177,4281.315408837038,3156.117289528459,-19468.129068992253,-12339766.223621994,0.0,0.0,0.0,2318790.970246762
2025-08-07,632.25,0.8199788332157136,0.1192224246070932,0.005450000762939451,1082569.8072974798,3653.346405197072,12.838646201076923,2341022.486893539,-180434.6012322614,4192734.1958636106,-19652.59219682624,-12659897.317814454,4306.608657627357,3165.888118092,-19632.094795999787,-12630836.018805739,0.0,0.0,0.0,2341022.486893539
2025-08-08,637.1799926757812,0.821689325091153,0.11947112491544247,0.005399999618530271,1104822.3219433308,3689.551427387477,11.265635948880401,2230902.6634899275,-176737.0314502649,4231272.2709786855,-20025.526825603454,-11368702.52016507,4311.338022403153,3238.4649572519716,-19999.929286971274,-11342216.759755481,0.0,0.0,0.0,2230902.6634899275
2025-08-11,635.9199829101562,0.7984142460291188,0.11608699931818146,0.005500001907348631,1096169.8225415843,3709.703916352506,11.868774227389018,2271777.628896929,-179306.27108497417,4241877.560845869,-20208.41388273365,-11891753.764067799,4348.8967718176145,3247.0294459905754,-20184.210943432343,-11864061.235365473,0.0,0.0,0.0,2271777.628896929
2025-08-12,642.6900024414062,0.824272111394724,0.11984665417654075,0.005370001792907718,1128247.7848834929,3731.8451725218124,9.689790841084015,2112683.381163127,-173369.07350724202,4268801.894215722,-20362.986879520777,-9986667.58224232,4321.827704548244,3318.343309975572,-20333.250658555655,-9963234.332204318,0.0,0.0,0.0,2112683.381163127
2025-08-13,644.8900146484375,0.804370124785995,0.11695296594719305,0.005170001983642578,1135684.2534388816,3755.8926770918274,9.174734337064958,2074648.9839257346,-171811.00822737726,4294893.848582687,-20589.338333231935,-9546286.039660856,4335.474528748226,3355.660169493523,-20558.042965151224,-9523778.77005552,0.0,0.0,0.0,2074648.9839257346
2025-08-14,644.9500122070312,0.7798697390426854,0.11339068449088868,0.005190000534057618,1134059.2041412988,3776.7298942358566,9.254703310469559,2081246.963627262,-172355.19274949253,4313600.899770007,-20813.428799190035,-9647114.066983704,4360.547093468243,3376.270145810643,-20781.82041427723,-9624256.2384561,0.0,0.0,0.0,2081246.963627262
2025-08-15,643.4400024414062,0.7587059802251558,0.1103135384258733,0.005190000534057618,1125115.9638908082,3789.6933736949936,9.820529458044263,2124514.393120199,-174408.54907137796,4322243.003937611,-20975.413579532305,-10185309.265229989,4389.238593461079,3377.6311737496194,-20944.723348480213,-10161101.34340142,0.0,0.0,0.0,2124514.3931201985
2025-08-18,643.2999877929688,0.7356157642184076,0.10695629135373842,0.005300002098083498,1121917.9118934076,3819.1087019774704,10.015373970591682,2137882.3558945716,-175998.7269312332,4342174.005755274,-21260.552424930043,-10383384.364292,4427.58248063979,3404.770417308946,-21229.91950196889,-10358604.426594881,0.0,0.0,0.0,2137882.3558945716
2025-08-19,639.8099975585938,0.7278928469850582,0.1058334027128342,0.005170001983642578,1103461.1604067888,3811.2130810929266,11.282606825115092,2229788.7477420946,-179815.9149879312,4327902.98385773,-21199.153187128493,-11491949.396244364,4450.008666439637,3368.6571491560626,-21171.882936824535,-11464694.19936457,0.0,0.0,0.0,2229788.7477420946
2025-08-20,638.1099853515625,0.7092962753610004,0.10312951784582523,0.005219998359680178,1093710.9919360662,3818.79664448688,11.983382723890951,2278262.6860190234,-182014.60814084712,4330569.896283074,-21282.196170614727,-12094052.377004515,4474.83852412144,3361.9204411821606,-21256.662364600983,-12065440.457929201,0.0,0.0,0.0,2278262.6860190234
2025-08-21,635.5499877929688,0.6960408854587586,0.10120222453136245,0.005349998474121091,1080488.2144783298,3816.0960391157705,12.982622517454967,2344590.5124987746,-184926.52191271714,4321600.225044161,-21239.657513830614,-12904869.230994223,4494.716064308528,3338.0214706138763,-21217.10551443773,-12874589.152713444,0.0,0.0,0.0,2344590.5124987746
2025-08-22,645.3099975585938,0.7883666373240803,0.11462610761855037,0.0049499988555908245,1130588.7386425906,3807.1145045129233,9.43841950688169,2092621.8422893984,-175168.98253854824,4321138.971083329,-21005.71718947107,-9820350.68564244,4403.175537716147,3403.6462719665888,-20975.034185309727,-9797112.397066994,0.0,0.0,0.0,2092621.8422893984
2025-08-25,642.469970703125,0.7733983620750696,0.11244976599229776,0.0049999999999999975,1114706.267913922,3819.9720117292272,10.493811063891108,2169290.3913077237,-179383.10501210624,4320745.3194623375,-21140.394723218407,-10765099.75178169,4444.8771737388815,3393.9742873746836,-21112.145057474092,-10739668.251378417,0.0,0.0,0.0,2169290.391307724
