,value
excluded_day,2026-03-31
abs_dS_linear_r2,0.00944646893917822
abs_dS_linear_lead_coef,2.8771097532033094
abs_dS_quadratic_r2,0.03542548302941739
abs_dS_quadratic_lead_coef,-0.8795702810251178
abs_dS_cubic_r2,0.08516418010030513
abs_dS_cubic_lead_coef,-0.2214365715799575
abs_dS_quad_gain_over_linear,0.025979014090239172
abs_dS_cubic_gain_over_quad,0.04973869707088774
abs_dS_linear_r2_ex1,0.1625678175077656
abs_dS_linear_lead_coef_ex1,8.51187928122989
abs_dS_quadratic_r2_ex1,0.19477808313649647
abs_dS_quadratic_lead_coef_ex1,0.7269185091949263
abs_dS_cubic_r2_ex1,0.1974010410218624
abs_dS_cubic_lead_coef_ex1,-0.03633394799520555
abs_dS_quad_gain_over_linear_ex1,0.03221026562873086
abs_dS_cubic_gain_over_quad_ex1,0.0026229578853659286
abs_dsig_linear_r2,0.0002675367904282355
abs_dsig_linear_lead_coef,-745.073126450908
abs_dsig_quadratic_r2,0.3015823093549064
abs_dsig_quadratic_lead_coef,-4116336.012314998
abs_dsig_cubic_r2,0.7777906577485543
abs_dsig_cubic_lead_coef,-873785328.2001647
abs_dsig_quad_gain_over_linear,0.30131477256447814
abs_dsig_cubic_gain_over_quad,0.4762083483936479
abs_dsig_linear_r2_ex1,0.277175564322356
abs_dsig_linear_lead_coef_ex1,18792.312346699357
abs_dsig_quadratic_r2_ex1,0.28731636660814375
abs_dsig_quadratic_lead_coef_ex1,773787.5233387431
abs_dsig_cubic_r2_ex1,0.5371944504403013
abs_dsig_cubic_lead_coef_ex1,-829982625.4596161
abs_dsig_quad_gain_over_linear_ex1,0.010140802285787731
abs_dsig_cubic_gain_over_quad_ex1,0.2498780838321576
