,spot-30%,spot-25%,spot-20%,spot-15%,spot-10%,spot-5%,spot+0%,spot+5%,spot+10%,spot+15%,spot+20%,spot+25%,spot+30%
vol-20,-954270.4355100926,-1231853.653611721,-1582023.636334303,-1183144.638373769,-757987.6386475366,-184326.617470033,111549.45149685163,195752.2525490087,270755.22406255384,345742.44206805364,420729.82819279586,495717.4683025691,570705.3893961974
vol-15,-954270.4355100926,-1231853.653611721,-1582047.673719869,-1178264.0844180395,-754051.2724960417,-181050.17283874005,113520.09812333575,195996.15213319357,271236.3916288258,346233.117472118,421193.9994798403,496151.68995469227,571112.5493148437
vol-10,-961943.5687166237,-1245483.803773068,-1508195.988155194,-1065645.518500397,-613679.567957246,-175732.62622532598,53169.25328091788,173957.00813026307,263679.3268542683,344109.6307391345,421327.87032303144,497283.73017884116,572692.8769153452
vol-5,-999756.102878301,-1231865.906060771,-1320860.6060178808,-914864.547091971,-497873.14370774664,-184821.47279445967,14007.208438662812,146802.79890479986,249137.33129448863,337670.52312600217,419668.09799398645,498397.0852708232,575407.9065858589
vol+0,-1006709.9137841747,-1167146.9213267935,-1138229.8383789547,-785231.6795058846,-437669.8578008127,-180200.87704461417,0.0,133210.36984193744,240773.75197998085,334441.4419678587,420390.0723175893,501911.6432789664,580815.5476980156
vol+5,-975442.5685263578,-1075059.054733883,-991687.5779680184,-689158.0050361217,-395598.21046227776,-170278.78979892586,-2193.843226457946,129430.64728165185,239293.04319562088,336131.95956027345,425013.6905647798,508917.21543319034,589636.6134231121
vol+10,-924643.0941776845,-982952.4161309461,-878175.4570394314,-614176.0404266387,-359676.75780333276,-156961.74350468465,1837.0212467245292,131429.7537010028,242427.2020653265,341483.13539469964,432725.2437604524,518755.9942150533,601250.7728564863
vol+15,-868108.3414261276,-900020.9458818996,-787666.2335551932,-551981.9271092222,-326206.7748696413,-140960.23063544347,9877.871748053702,137102.95733374357,248510.944568482,349166.9715811957,442382.6146668552,530367.9364916834,614626.6942795136
vol+20,-812057.7425697799,-826942.4477403627,-712668.6967778977,-498017.5708876448,-293946.07906673546,-122809.13446845603,20875.273049313808,145422.07917639706,256642.67649321468,358362.5041556761,453182.66775574745,542925.1858327382,628892.1185059503
vol+25,-758713.3160286611,-762256.2965470812,-648378.0817830828,-449698.14538485,-262454.3295763531,-102985.89196993178,34181.555824366165,155821.84417885658,266352.2831203898,368638.68734892854,464677.57508988143,555926.0770460174,643473.2656029698
vol+30,-708622.5304226074,-704321.8671285836,-591746.6909942941,-405476.0492397372,-231577.65653604362,-81906.37672837311,49315.52787985839,167923.91335196025,277365.59711009986,379774.7951105286,476647.25939641264,569112.046883493,658049.2968093122
vol+35,-661704.5619417161,-651773.8911871829,-540800.4832346456,-364378.56645245967,-201272.2706608728,-59921.398972815135,65885.59024495468,181429.16129227192,289486.916899943,391643.2803154171,488988.86638285196,582368.1478294509,672466.9103471108
vol+40,-617677.7767316353,-603563.2667775315,-494225.28640720947,-325769.7180034595,-171539.02215122734,-37321.98310632864,83561.97569792927,196078.77147264848,302549.1688975927,404149.43898498197,501648.50821845024,595650.6708582917,686667.7799055811
